scenario_id,error_rate,num_models_wrong,models_wrong
1233,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1895,0.4166666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1860,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1563,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1951,0.4166666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1299,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
0,0.41555555555555557,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1880,0.41379310344827586,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1209,0.41333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
846,0.4126984126984127,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1144,0.4116809116809117,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
528,0.4116161616161616,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1253,0.41156462585034015,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1199,0.4114583333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
385,0.4106813996316759,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
25,0.41025641025641024,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1142,0.41025641025641024,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1693,0.40763052208835343,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
155,0.4074074074074074,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1358,0.4074074074074074,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1334,0.40625,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
516,0.40412979351032446,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1473,0.4041095890410959,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1991,0.4036697247706422,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
157,0.4027777777777778,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
351,0.4015151515151515,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1863,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1794,0.4,5,"GAT, GCN, GIN, TransformerConv, GINE"
1996,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1761,0.4,5,"GAT, GCN, GIN, TransformerConv, GINE"
938,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1214,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1189,0.4,5,"GAT, GCN, GIN, TransformerConv, GINE"
719,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
659,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
499,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
342,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
450,0.39965986394557823,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
241,0.3984375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
54,0.3969298245614035,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1220,0.39615384615384613,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
956,0.39603960396039606,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
489,0.3958333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1934,0.3958333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1572,0.3958333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
565,0.39215686274509803,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
242,0.39080459770114945,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1870,0.3897058823529412,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
219,0.3895582329317269,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
276,0.3888888888888889,5,"GAT, GCN, GIN, TransformerConv, GINE"
1660,0.3888888888888889,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
632,0.3888888888888889,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1200,0.3888888888888889,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1077,0.3888888888888889,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1224,0.3888888888888889,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
144,0.3888888888888889,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1981,0.3888888888888889,5,"GAT, GCN, GIN, TransformerConv, GINE"
1792,0.38571428571428573,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
835,0.3854166666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
407,0.3852813852813853,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1550,0.38461538461538464,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
704,0.38095238095238093,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
627,0.38079470198675497,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
934,0.3789954337899543,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1979,0.3787878787878788,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
527,0.37763713080168776,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1946,0.3775811209439528,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
208,0.3775811209439528,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
252,0.3765432098765432,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1992,0.375,5,"GAT, GCN, GIN, TransformerConv, GINE"
1620,0.375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1640,0.375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1434,0.375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1715,0.375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1442,0.375,5,"GAT, GCN, GIN, TransformerConv, GINE"
265,0.375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1594,0.37435897435897436,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1924,0.37390350877192985,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
87,0.3726851851851852,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1308,0.37237237237237236,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1231,0.3716931216931217,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1187,0.37083333333333335,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
971,0.37037037037037035,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
802,0.36923076923076925,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
681,0.3680555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1011,0.3680555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
166,0.36666666666666664,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1891,0.3661800486618005,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
494,0.3656716417910448,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1396,0.3654434250764526,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
418,0.36419753086419754,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
810,0.3627450980392157,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1621,0.36231884057971014,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1907,0.3611111111111111,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
285,0.3607843137254902,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1589,0.36,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1771,0.3592233009708738,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
142,0.3587962962962963,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1452,0.35833333333333334,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
395,0.35833333333333334,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
747,0.35815602836879434,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
813,0.35802469135802467,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1803,0.3574561403508772,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
232,0.35714285714285715,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
895,0.35714285714285715,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1275,0.35699588477366256,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1044,0.3566666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
824,0.35645472061657035,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1665,0.3541666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
861,0.3541666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
795,0.35294117647058826,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1347,0.35294117647058826,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
554,0.35185185185185186,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
264,0.35185185185185186,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1052,0.35135135135135137,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
290,0.3508771929824561,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1408,0.3508771929824561,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
828,0.35,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1638,0.3484848484848485,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
781,0.3472222222222222,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1841,0.3472222222222222,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1121,0.34670781893004116,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1539,0.3466666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
192,0.34615384615384615,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1176,0.3459915611814346,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
791,0.34294871794871795,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1807,0.3412698412698413,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
362,0.3408408408408408,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1346,0.34057971014492755,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
307,0.3405275779376499,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1682,0.33796296296296297,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
989,0.3378995433789954,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1518,0.33760683760683763,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1034,0.3373015873015873,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1957,0.3372093023255814,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1770,0.336644591611479,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1649,0.3364389233954451,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
770,0.33611111111111114,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
467,0.3333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
441,0.3333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1592,0.3333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1933,0.3333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
